"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"402","BOGDANOVCI",2017,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1641,0
"403","BOGDANOVCI",2018,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1575,0
"404","BOGDANOVCI",2019,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1525,0
"405","BOGDANOVCI",2020,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1514,0
"406","BOGDANOVCI",2021,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,1545,0
"407","BOL",2008,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,500772.7,1584,316.144381313131
"408","BOL",2009,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,429638.89,1605,267.687781931464
"409","BOL",2010,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,545566.59,1637,333.272199144777
"410","BOL",2011,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,377629.01,1663,227.076975345761
"411","BOL",2012,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,384269.95,1709,224.85076067876
"412","BOL",2013,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,440644.8499,1706,258.291236752638
"413","BOL",2014,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,541950.6544,1734,312.543629988466
"414","BOL",2015,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,443920.9589,1751,253.524248372359
"415","BOL",2016,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,449832.913,1723,261.07539930354
"416","BOL",2017,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,377580.523848,1744,216.502593949541
"417","BOL",2018,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,463968.151746,1771,261.980887490683
"418","BOL",2019,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,521792.959635,1795,290.69245662117
"419","BOL",2020,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,446359.842211,1804,247.427850449557
"420","BOL",2021,"XVII SPLITSKO-DALMATINSKA","OPĆINA",0.1,418096.974811,1678,249.163870566746
"421","BOROVO",2008,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,334710.12,5138,65.1440482678085
"422","BOROVO",2009,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,313494.4,5093,61.5539760455527
"423","BOROVO",2010,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,323965.01,5048,64.1769037242472
"424","BOROVO",2011,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,260381.31,5039,51.6732109545545
"425","BOROVO",2012,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,272081.87,5034,54.0488418752483
"426","BOROVO",2013,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,269160.378,4935,54.5411100303951
"427","BOROVO",2014,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,275860.931,4795,57.5309553701773
"428","BOROVO",2015,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,103977.1412,4726,22.0010878544223
"429","BOROVO",2016,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,147075.0004,4559,32.260364202676
"430","BOROVO",2017,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,126988.711232,4303,29.5116688896119
"431","BOROVO",2018,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,244579.932563,4171,58.6382000870295
"432","BOROVO",2019,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,324135.188722,4051,80.0136234811158
"433","BOROVO",2020,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,215937.19653,3933,54.903940129672
"434","BOROVO",2021,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.1,147011.109,3555,41.3533358649789
"435","BOSILJEVO",2008,"IV KARLOVAČKA","OPĆINA",0,0,1329,0
"436","BOSILJEVO",2009,"IV KARLOVAČKA","OPĆINA",0,0,1303,0
"437","BOSILJEVO",2010,"IV KARLOVAČKA","OPĆINA",0,0,1292,0
"438","BOSILJEVO",2011,"IV KARLOVAČKA","OPĆINA",0,0,1273,0
"439","BOSILJEVO",2012,"IV KARLOVAČKA","OPĆINA",0,0,1258,0
"440","BOSILJEVO",2013,"IV KARLOVAČKA","OPĆINA",0,0,1223,0
"441","BOSILJEVO",2014,"IV KARLOVAČKA","OPĆINA",0,0,1200,0
"442","BOSILJEVO",2015,"IV KARLOVAČKA","OPĆINA",0,0,1170,0
"443","BOSILJEVO",2016,"IV KARLOVAČKA","OPĆINA",0,0,1152,0
"444","BOSILJEVO",2017,"IV KARLOVAČKA","OPĆINA",0,0,1127,0
"445","BOSILJEVO",2018,"IV KARLOVAČKA","OPĆINA",0,0,1105,0
"446","BOSILJEVO",2019,"IV KARLOVAČKA","OPĆINA",0,0,1076,0
"447","BOSILJEVO",2020,"IV KARLOVAČKA","OPĆINA",0,0,1050,0
"448","BOSILJEVO",2021,"IV KARLOVAČKA","OPĆINA",0,0,1040,0
"449","BOŠNJACI",2008,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,177016.31,4131,42.850716533527
"450","BOŠNJACI",2009,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,169637.45,4039,41.9998638276801
"451","BOŠNJACI",2010,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,140093.33,3928,35.6653080448065
"452","BOŠNJACI",2011,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,127947.91,3852,33.2159683281412
"453","BOŠNJACI",2012,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,140717.24,3799,37.0406001579363
"454","BOŠNJACI",2013,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,148242.9409,3712,39.9361370959052
"455","BOŠNJACI",2014,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,117372.4456,3624,32.3875401766004
"456","BOŠNJACI",2015,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,81861.8868,3543,23.1052460626588
"457","BOŠNJACI",2016,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,93684.0382,3447,27.1784270960255
"458","BOŠNJACI",2017,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,86776.012087,3303,26.2718777132909
"459","BOŠNJACI",2018,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,128125.697259,3191,40.1522084797869
"460","BOŠNJACI",2019,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,140906.049094,3097,45.4975941536971
"461","BOŠNJACI",2020,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.05,136067.271625,3033,44.8622722139796
"462","BOŠNJACI",2021,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,2868,0
"463","BRCKOVLJANI",2008,"I ZAGREBAČKA","OPĆINA",0.03,320693.04,6741,47.5735113484646
"464","BRCKOVLJANI",2009,"I ZAGREBAČKA","OPĆINA",0.03,314564.8,6749,46.6090976440954
"465","BRCKOVLJANI",2010,"I ZAGREBAČKA","OPĆINA",0.03,303471.54,6826,44.4581804863756
"466","BRCKOVLJANI",2011,"I ZAGREBAČKA","OPĆINA",0.03,305290.56,6871,44.4317508368505
"467","BRCKOVLJANI",2012,"I ZAGREBAČKA","OPĆINA",0.03,298102.63,6881,43.3225737538149
"468","BRCKOVLJANI",2013,"I ZAGREBAČKA","OPĆINA",0.03,293337.8262,6886,42.5991615161197
