"","Naziv_jedinice","Godina","Šifra_Ž","Županija","Status","Šifra_GO","Stopa_prireza","Objava","Datum_primjene","Iznos_prireza","Broj_stanovnika"
"159","BAŠKA",2013,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1727
"160","BAŠKA",2014,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1726
"161","BAŠKA",2015,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1728
"162","BAŠKA",2016,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1740
"163","BAŠKA",2017,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1739
"164","BAŠKA",2018,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1723
"165","BAŠKA",2019,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1706
"166","BAŠKA",2020,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1693
"167","BAŠKA",2021,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",0,1656
"168","BAŠKA",2022,8,"VIII PRIMORSKO-GORANSKA","OPĆINA","00086",0,"-","-",NA,NA
"169","BAŠKA VODA",2002,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2194
"170","BAŠKA VODA",2003,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2261
"171","BAŠKA VODA",2004,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2425
"172","BAŠKA VODA",2005,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2538
"173","BAŠKA VODA",2006,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2640
"174","BAŠKA VODA",2007,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,2714
"175","BAŠKA VODA",2008,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2770
"176","BAŠKA VODA",2009,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2804
"177","BAŠKA VODA",2010,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2775
"178","BAŠKA VODA",2011,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2781
"179","BAŠKA VODA",2012,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2811
"180","BAŠKA VODA",2013,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2844
"181","BAŠKA VODA",2014,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2868
"182","BAŠKA VODA",2015,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2883
"183","BAŠKA VODA",2016,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2886
"184","BAŠKA VODA",2017,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2863
"185","BAŠKA VODA",2018,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2863
"186","BAŠKA VODA",2019,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2838
"187","BAŠKA VODA",2020,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2834
"188","BAŠKA VODA",2021,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",0,2590
"189","BAŠKA VODA",2022,17,"XVII SPLITSKO-DALMATINSKA","OPĆINA","00094",0,"-","-",NA,NA
"190","BEBRINA",2002,12,"XII BRODSKO-POSAVSKA","OPĆINA","00108",0,"-","-",NA,3330
